trial_id,scenario,method,blocked,block_reasons,remote_mutations,stale_mutation,duplicate_mutation,unsafe_mutation,correct_outcome
66,draft_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
66,draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch,0,0,0,0,1
67,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
67,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
67,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
67,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
68,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
68,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
68,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
68,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
69,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
69,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
69,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
69,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
70,source_edit,A0_ordinary_approval_log,0,,1,1,0,1,0
70,source_edit,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
70,source_edit,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
70,source_edit,A3_source_bound_causal_transaction,1,approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
71,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
71,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
71,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
71,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
72,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
72,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
72,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
72,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
73,source_edit,A0_ordinary_approval_log,0,,1,1,0,1,0
73,source_edit,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
73,source_edit,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
73,source_edit,A3_source_bound_causal_transaction,1,approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
74,target_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
74,target_drift,A1_source_hash_conditional,0,,1,1,0,1,0
74,target_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
74,target_drift,A3_source_bound_causal_transaction,1,approved_policy_snapshot_mismatch|approved_write_targets_mismatch,0,0,0,0,1
75,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
75,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
75,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
75,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
76,source_edit,A0_ordinary_approval_log,0,,1,1,0,1,0
76,source_edit,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
76,source_edit,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
76,source_edit,A3_source_bound_causal_transaction,1,approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
77,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
77,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
77,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
77,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
78,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
78,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
78,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
